Parque Arqueologico,Elemento arqueológico,Nombre elemento arqueológico,Código ICANH,Descripción,Ubicación actual dentro del parque,Datos historicos,Dimensiones visibles,Técnica de elaboración,Datos bibliograficos
San Agustín,escultura,Guardián de tumba,No. 67,Estatua de  tipo “columnar”. Ojos hundidos con un tocado  que rodea la cabeza y termina  atrás simulando un lazo con un nudo,Montículo norte.  Mesita B,"Según Sotomayor y Uribe, este montículo fue saqueado, las estatuas removidas  y las tumbas profanadas. El arqueólogo Pérez de barradas identificó 31 estatuas columnares denominadas “guardianes de tumbas”. Duque Gómez sugiere la posibilidad de que hayan sido utilizadas para formar un cerco alrededor del montículo, caso similar al del montículo Noroeste de la misma Mesita",85cm  x 45cm  x 42cm,Roca texturada. Formas claras  y  talla en el frente y la parte posterior.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 67
Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  Pág.82.  Láminas (96, 97A y 98).                                                                      
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág.81. Plancha: 34:1-2; 35:2-3.."
San Agustín,escultura,Figura de varón con una calavera que pende del cuello,No. 28,"Según Preuss  “el cinturón  bipartido  y el taparrabo demuestran que es figura masculina. Presenta orejas inmensas  de animal que suben  por encima de la cabeza y conservan en los lóbulos orejeras, casi redondas; tiene además esta estatua  un collar del cual pende una calavera, con cavidades en vez de ojos y una nariz tosca. Las mejillas han quedado reemplazadas por dos contornos óseos; caninos sobresalientes; las manos están cogiendo un collar; cuatro dedos  están cerrados hacia dentro, los pulgares dan una vuelta por detrás en forma muy poco natural y reposan encima de los índices. La cabeza, o quizá el gorro, remata en forma de punta y donde debieran hallarse los pies aparece una ranura horizontal y luego el zócalo.",Mesita B,"Según Preuss  ubica esta escultura en el montículo  noroeste de la mesita B y reseña lo revuelto y saqueado que encontró el lugar. Codazzi es el primero en reseñar y ubicar entre este  túmulo artificial y como parte de una reconstrucción dolménica, las estatuas (26,27 y 28), posteriormente las dos últimas son llevadas al pueblo. Pérez de Barradas hizo algunas excavaciones en este sitio  y afirma que el montículo tiene forma de corazón y que las piedras columnares que encontró tiradas y revueltas debieron servir de cerco al mismo. Duque Gómez quien hizo la reconstrucción ubica la estatua número 28 como “deidad” principal y a los lados de ésta la 26 y 27 iniciando el corredor funerario. Detrás del templete halló la tumba principal muy guaqueada; sólo  estaba in-situ, la piedra trasera y dos correspondientes al muro del costado occidental de la misma.",169cm  x 107cm  x 59cm,Presenta formas ortogonales. Volúmenes muy bien logrados de formas redondeadas.. Superficie texturada pero homogénea.,"Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  Pág. 49.  Láminas (88 a 91)                                                                      
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 81. Plancha: 29-2. Dibujo 30.   Fotografía 25. 
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 45. Escultura No. 28      
Nachtigall, Horst. Guía de la arqueología agustiniana. Bogotá. Junio 6 de 1953. Foto Estatuas del estilo clásico de San Agustín. (#113s
Duque Gómez, Luis. Exploraciones arqueológicas en San Agustín. Ministerio de Educación Nacional. Instituto Colombiano de Antropología. Revista  Colombiana de antropología. Suplemento No.1. Bogotá. 1964. Pág. 431. Lámina XVII y XIX.
Cuervo Márquez Carlos. Estudios arqueológicos y etnográficos.  Editorial Kelly. 1956. Pág. 137. Figura 19
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. Lámina 59 y 60.  página 90."
San Agustín,escultura,Figura con costillas,No. 42,"Según Preuss tiene una cabeza casi completamente pegada al pecho y los brazos empiezan encima de la cabeza. Debajo de la barba comienzan nueve cortes paralelos, que llegan hasta el término inferior de la figura. Quizá simbolicen “costillas”; además los dedos son largos y muy delgados. El reborde  inferior de la frente sobresale notoriamente, los ojos son redondos y protuberantes y la boca ancha, ostenta colmillos que salen en forma puntiaguda. No tiene huellas de pies, ni de piernas. En la parte delantera del zócalo, no se advierte cosa alguna; pero en la posterior aparece una profunda ranura interrumpida en ambos lados.",Mesita B,"Según Preuss  en el nordeste del montículo oriental, a una distancia de 100 metros a la izquierda  del camino que conduce al sitio llamado  de La Candela, se hallo esta escultura. Según Sotomayor y Uribe, parece esta escultura (42) junto con la (43) hacían parte de las cariátides  a la entrada del “templete”.",142cm  x 45cm  x 42cm,"Figura que sigue la forma de la roca. En la cara se manejan diferentes planos. Superficie homogénea. Brazos largos. Según Barradas, conserva restos de pintura. De negro estaba pintada la cara, ojos y dientes inclusive; el morrión, salvo la faja central; que lo estaba en rojo, las manos, las partes laterales y trasera y las dos ultimas fajas  inferiores de la cara delantera. Salvo  los dos o quizá  los tres volantes inferiores  y el primero superior que eran negros, los restantes estaban pintados alternativamente de rojo y amarillo. En su lado izquierdo hay, paralela al brazo, una faja en rojo. Estas fajas rojas así como la del morrión parece ser restos de una capa de pintura más antigua que la negra. Las manos son muy largas y huesudas que tienen bien  marcada la separación del antebrazo, así como las uñas. 
Presenta rastros de color: negro, rojo, amarillo
: Figura que sigue la forma de la roca. En la cara se manejan diferentes planos. Superficie homogénea. Brazos largos. Según Barradas, conserva restos de pintura. De negro estaba pintada la cara, ojos y dientes inclusive; el morrión, salvo la faja central; que lo estaba en rojo, las manos, las partes laterales y trasera y las dos ultimas fajas  inferiores de la cara delantera. Salvo  los dos o quizá  los tres volantes inferiores  y el primero superior que eran negros, los restantes estaban pintados alternativamente de rojo y amarillo. En su lado izquierdo hay, paralela al brazo, una faja en rojo. Estas fajas rojas así como la del morrión parece ser restos de una capa de pintura más antigua que la negra. Las manos son muy largas y huesudas que tienen bien  marcada la separación del antebrazo, así como las uñas. 
Presenta rastros de color: negro, rojo, amarillo","Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  Pág.74.  Láminas (50a y 62)                                                                      
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 74. Plancha: 25, 1-3.  Fotografía 22. 
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 48. Escultura No. 42      
Nachtigall, Horst. Guía de la arqueología agustiniana. Bogotá. Junio 6 de 1953. Foto Vigilantes (# 115 y 116) del Montículo sur de la Mesita B.
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. Pág. 28. Lamina No.5
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. Fotografía 94, 
página 59."
San Agustín,escultura,Figura con costillas,No. 43,"Figura que sigue la forma de la roca. En la cara se manejan diferentes planos. Superficie homogénea. Brazos largos.  Según Barradas, conserva restos de pintura. De negro estaba pintada la cara, ojos y dientes inclusive; el morrión, salvo la faja central; que lo estaba en rojo, las manos, las partes laterales y trasera y las dos ultimas fajas  inferiores de la cara delantera. Salvo  los dos o quizá  los tres volantes  inferiores  y el primero superior que eran negros, los restantes estaban pintados alternativamente de rojo y amarillo. En su lado izquierdo hay, paralela al brazo, una faja en rojo. Estas fajas rojas así como la del morrión parece ser restos de una capa de pintura más antigua que la negra. Las manos son muy largas y huesudas que tienen bien  marcada la separación del antebrazo, así como las uñas.",Mesita B,"Según Preuss  en el nordeste del montículo oriental, a una distancia de 100 metros a la izquierda  del camino que conduce al sitio llamado  de La Candela, se hallo esta escultura. Según Sotomayor y Uribe, parece esta escultura (43) junto con la (42), hacían parte de las cariátides  a la entrada del “templete”.",142cm  x 45cm  x 42cm,"Según Preuss tiene una cabeza casi completamente pegada al pecho y los brazos empiezan encima de la cabeza. Debajo de la barba comienzan nueve cortes paralelos, que llegan hasta el término inferior de la figura. Quizá simbolicen “costillas”; además los dedos son largos y muy delgados. Entre los dos últimos cortes aparece un ombligo. El reborde  inferior de la frente sobresale notoriamente, los ojos son redondos y protuberantes y la boca ancha, ostenta colmillos que salen en forma puntiaguda. No tiene huellas de pies, ni de piernas. En la parte delantera del zócalo, no se advierte cosa alguna; pero en la posterior aparece una profunda ranura interrumpida en ambos lados.","Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  Pág.74.  Láminas (50b)                                                                      
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 74. Plancha: 25, 1-3.  Fotografía 22. 
Sotomayor María Lucia, Uribe María Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 48. Escultura No. 43      
Nachtigall, Horst. Guía de la arqueología agustiniana. Bogotá. Junio 6 de 1953. Foto Vigilantes (#115 y 116) del Montículo sur de la mesita B.
Hernández de Alba, Gregorio. La  cultura arqueológica de San Agustín. Carlos Valencia Editores. Bogotá. Bogotá. 1979. Fotografía. Cariátide del templo de la meseta B. Pág. 35 
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. Pág. 28. Lamina No.5 
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. Fotografía 94, página, 59."
San Agustín,escultura,Según barradas: “diosa madre que muestra a su hijo”,No.  44,"Según Barradas la madre tiene una cabeza casi circular, que aparenta ser plana pero que está levantada  por  debajo y hacia delante. Encima de ella hay un tocado rectangular. Los ojos son circulares, sin pupila, y su curva forma con las líneas externas de la nariz espirales. La nariz es ancha en la base. La boca es arqueada y de comisuras  curvas. Está abierta  y deja ver los dientes y los colmillos triangulares y salientes, que aún conservan restos de color negro. 
Por detrás del cuerpo se ven unas prolongaciones laterales como  si fuese un manto. Los hombros están modelados con cuidado  así  como las manos; la situación del dedo pulgar es normal. La mano derecha de la estatua esta más baja que la otra, tomando al niño por debajo de los brazos. En los dedos están señaladas las uñas. Los músculos están inclinados hacia adelante, por lo cual las rodillas resultan un poco salientes. Tanto ellas como las piernas son rectangulares. Los pies son un poco salientes y llevan indicados los cinco dedos. 
El niño  esta cogido por debajo de los brazos y tiene por encima de las manos de la madre. El que los brazos salgan por debajo de la cara, el saliente del vientre  y la posición de los pies, con la punta  de los dedos dirigidos hacia abajo. El niño tiene un tocado semi-esférico con una prolongación rectangular hacia arriba. Las orejas son grandes y de ellas sale un  apéndice rectangular hacia el lado. El relieve de las cejas es fuerte, los ojos  son circulares y la boca lineal. Debajo de los ojos hay unos abultamientos que son los  pómulos. . Los bracitos son angulosos y naturales; están rotos al iniciarse las manos. Tienen vestigios de color rojo. El vientre es saliente y propio de niño. No hay indicación de sexo. Muslos y piernas son rectangulares, las rodillas están un poco levantadas y los pies dirigidos hacia abajo, llevan cinco dedos, el pulgar es de menor tamaño.  La parte posterior de esta estatua es lisa.",Mesita B,"Según Preuss, este dolmen de la meseta B.",119cm  x 55cm  x 28cm,"Presenta dedos y dientes  bien redondeados, planos ortogonales. No presenta trabajo de talla en la parte posterior.  La boca presenta restos  de color negro;  Los brazos tienen vestigios de color rojo. Adicionalmente existen vestigios de negro en la parte posterior de la cabeza del niño.","Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta Nacional. Bogotá. 1943.  Pág.58 y 59.  Láminas (53b y 63)                                                                      
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Fotografía número 23.
Sotomayor María Lucia, Uribe María Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 55. Escultura No.44.  
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. Pág. 28. Lamina No.6
Hernández de Alba, Gregorio. La  cultura arqueológica de San Agustín. Carlos Valencia Editores. Bogotá. Bogotá. 1979. Fotografía.  Divinidad del templo. Pág. 35 
Duque Gómez, Luis. Exploraciones arqueológicas en San Agustín. Ministerio de Educación Nacional. Instituto Colombiano de Antropología. Revista  Colombiana de antropología. Suplemento No.1. Bogotá. 1964. Pág. 473. Lámina : estatua que representa un sacrificio de niño. XXXII
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. Pág. 45"
San Agustín,escultura,Guardian de tumba,No. 63,"Representa una figura humana; brazo izquierdo doblado agarrando el brazo derecho recto y paralelo al nivel del cuerpo. Ojos ovalados, boca felina.",Monticulo norte. Mesita B,Se desconoce su procedencia exacta dentro del área arqueológica de San Agustín.,64cm  x 49cm  x 33 cm,Talla poco elaborada; utilizando la forma de la roca.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 92 Escultura No. 63"
San Agustín,escultura,Guardián de tumba,No. 68,"Estatua de  tipo “columnar”. Rastros del rostro poco definidos, dientes puntiagudos;   aparentemente tocado en la cabeza.  Brazo derecho  paralelo al cuerpo , Roca muy texturada y dura . Talla poco profunda, sin trabajo en la parte posterior.",Montículo norte.  Mesita B,"Según Sotomayor y Uribe, este montículo fue saqueado, las estatuas removidas  y las tumbas profanadas. El arqueólogo Pérez de barradas identificó 31 estatuas columnares denominadas “guardianes de tumbas”. Duque Gómez sugiere la posibilidad de que hayan sido utilizadas para formar un cerco alrededor del montículo, caso similar al del montículo Noroeste de la misma Mesita",66cm  x 36cm  x 32cm,"Roca muy texturada y dura . Talla poco profunda, sin trabajo en la parte posterior.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 68"
San Agustín,escultura,Guardián de tumba,No. 69,"Estatua de  tipo “columnar”. Rastros del rostro poco definidos, dientes puntiagudos. Brazo derecho  paralelo al cuerpo , mano cerrada y brazo izquierdo doblado y mano apoyada sobre el brazo derecho, dedos abiertos.",Montículo norte.  Mesita B,"Según Sotomayor y Uribe, este montículo fue saqueado, las estatuas removidas  y las tumbas profanadas. El arqueólogo Pérez de barradas identificó 31 estatuas columnares denominadas “guardianes de tumbas”. Duque Gómez sugiere la posibilidad de que hayan sido utilizadas para formar un cerco alrededor del montículo, caso similar al del montículo Noroeste de la misma Mesita",66cm  x 31cm  x 27cm,Roca muy texturada. Talla poco profunda,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 69"
San Agustín,escultura,Guardián de tumba,No.73,"Estatua de tipo “columnar”. Los rasgos del rostro son muy lineales. Ojos hundidos, boca con dientes  puntiagudos, , tocado en la cabeza;  brazo derecho doblado a la altura de la cintura, mano cerrada y dedos lineales.",Montículo norte.  Mesita B,"Según Sotomayor y Uribe, este montículo fue saqueado, las estatuas removidas  y las tumbas profanadas. El arqueólogo Pérez de barradas identificó 31 estatuas columnares denominadas “guardianes de tumbas”. Duque Gómez sugiere la posibilidad de que hayan sido utilizadas para formar un cerco alrededor del montículo, caso similar al del montículo Noroeste de la misma Mesita",87cm  x 35 cm x 30cm,"Talla poco elaborada, con rasgos lineales incisos de talla poco profunda.  No tiene trabajo de talla en la parte posterior.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 73"
San Agustín,escultura,Guardián de tumba,No.96,"Talla poco elaborada, con rasgos lineales incisos de talla poco profunda.  No tiene trabajo de talla en la parte posterior.",Montículo norte.  Mesita B,"Según Sotomayor y Uribe, este montículo fue saqueado, las estatuas removidas  y las tumbas profanadas. El arqueólogo Pérez de barradas identificó 31 estatuas columnares denominadas “guardianes de tumbas”. Duque Gómez sugiere la posibilidad de que hayan sido utilizadas para formar un cerco alrededor del montículo, caso similar al del montículo Noroeste de la misma Mesita",77cm  x 44cm  x 29cm,Estatua de  tipo “columnar”. Los rasgos del rostro son muy lineales y parece  inconclusa en su elaboración.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 96"
San Agustín,escultura,Guardián de tumba,No.98,Estatua de  tipo “columnar”. No presenta  rasgos definidos.,Montículo norte.  Mesita B,"Según Sotomayor y Uribe, este montículo fue saqueado, las estatuas removidas  y las tumbas profanadas. El arqueólogo Pérez de barradas identificó 31 estatuas columnares denominadas “guardianes de tumbas”. Duque Gómez sugiere la posibilidad de que hayan sido utilizadas para formar un cerco alrededor del montículo, caso similar al del montículo Noroeste de la misma Mesita",83cm  x 28cm  x 38cm,Escultura  poco elaborada: no tiene trabajo de talla en la parte posterior.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 98"
San Agustín,laja,Laja con inscripción,No.47,"Laja de pared con motivos geométricos incisos, representación con líneas horizontales y verticales que se superponen. Retículas especialmente densas en los bordes de la laja.",Montículo sur Mesita B,"La laja número 47, se encuentra referenciada por Pérez de Barradas en su reconocimiento del lugar en 1937 de esta manera “Si no fuera por haberse considerado esta losa como un “calendario”, la descripción sería aún más breve. Apareció en el lugar que ocupa, pero en posición invertida, en lo que mal pueden llamarse excavaciones de nuestros predecesores, .....Es una losa, de roca eruptiva microgranulada y oscura, de 250 cm. De dimensión máxima y de 130 cm. De ancho. Un borde que muy groseramente tiene forma de arco de círculo está decorado con una serie de líneas de un paralelismo tosco, cuyo número oscila entre 7 y 15, las cuales están cruzadas por rayas verticales muy irregulares, unas veces casi paralelas y otras oblicuas más o menos....”",238 cm  x 135cm  x 26cm,"Líneas delgadas incisas en casi toda la superficie, arriba especialmente. Rastros de policromía amarilla.","Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  P.57.                                                                
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987.Laja con inscripción No. 47
Hernández de Alba, Gregorio. La cultura arqueológica de San Agustín. Carlos Valencia Editores. Bogotá. 1979. P. 137"
San Agustín,laja,laja,No.60,"laja de pared con motivos geométricos incisos, con representación espiral en la parte superior y un círculo en la parte inferior",Montículo sur Mesita B,"Se encuentra referenciada por Preuss asi:  señala una serpiente con las fauces abiertas, de las cuales sale una lengua bipartida. La piedra tiene en su parte inferior  una hendidura redonday pulimnetada",122x70x13,Lineas delgadas insisas y el círculo cóncavo presenta una superficie bastante trabjada; rastros de policromía amarilla,"Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  P.54.                                                               
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Laja  No. 60.
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. P.76. Dibujo:24"
San Agustín,Sarcófago,Sarcófago,S-1,Sarcófago monolítico con vertedera en la parte inferior.,Mesita B,"Este sarcófago es, aparentemente, al que se refiere Pérez de Barradas “Los dos sarcófagos de piedra, que menciona Preuss (Pág.40) están cerca de la quebrada del Lavapatas.",240cm  x 70cm  x 50cm.,talla precisa,Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  P.94.
San Agustín,escultura,Deidad con un pisón,No. 109,"Según Preuss, presenta una placa rectangular en la boca, tocado en la cabeza de forma semicircular. Tiene espiral escalonada que  comienza en el contorno de la cara y va hasta la boca; ésta  tiene debajo dos continuaciones arqueadas. Las  inmensas manos, no articuladas, agarran un bastón o quizá un pisón. Las protuberancias en las muñecas probablemente debían ser grandes pulseras. Las dos ranuras anchas y perpendiculares en la parte inferior del cuerpo quizá se hicieron más tarde.",Mesita C,Escultura procedente de la mesita C dentro del parque arqueológico de San agustín,176cm  x 50cm  x 21cm,Talla  poco profunda con detalles ortogonales. Superficie homogénea,"Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  Pág.93.                                                                        
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 87-88. Plancha: 40-1; Dib. 18. 
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. Pág. 101. Lamina No.IIIb. 
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 73 Escultura No. 109"
San Agustín,escultura,figura femenina con los dedos curvados,No. 110,"Según Preuss, la barba puntiaguda distingue bastante esta figura de las demás que se encuentran en la región. El tocado de la frente  acaba en los lados  en forma escalonada.. Los ojos redondos y los dedos curvados (imitación de garras) sin tener en cuenta los colmillos le dan un aspecto (brutal). Al través del lomo de la nariz hay una ranura profunda. Las alas nasales se prolongan en surcos puntiagudos  en el lado inferior. Puede ser que la faja alrededor del cuerpo represente un delantal corto, característico del sexo femenino.. Los cinco dedos de cada pie, están representados por medio de muescas. Otras muescas semejantes se encuentran también en la parte central del zócalo",Mesita C,Escultura procedente de la mesita C dentro del parque arqueológico de San agustín,160cm  x 120cm  x 33cm.,"Superficie homogénea, volúmenes ortogonales","Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 88. Plancha: 43-3; Dib. 12. Fotografía No. 43.
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. P. 40. 
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987.Escultura No. 110     
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. P. 82; lámina 51"
San Agustín,escultura,Deidad con una diadema de plumas,No. 111,"Según Preuss, En la mitad de la diadema de plumas que circunda hacia arriba y hacia debajo de la cabeza, la parte central representa quizá un adorno de oro. Entre el dorso y las alas nasales, hay una separación que atraviesa el rostro en forma de espiral escalonada y curva hacia abajo. El iris redondo se cierra  en apariencia por medio de líneas dobles, esculpidas debajo del borde de los ojos. Entre los colmillos salientes  se observan cinco dientes. El brazo derecho que posiblemente cayo sobre el cuerpo, está casi roto en su totalidad.  En la muñeca del brazo izquierdo hay una pulsera angosta de la cual penden dos cintas. La mano parece como cubierta por un guante, (parece jugador de pelota- México).",Mesita C,Se desconoce su procedencia exacta dentro del área arqueológica de San Agustín.,210cm  x 138cm  x 27cm,Piedra de color gris. Talla  poco profunda con detalles ortogonales,"Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  Pág.93.                                                                        
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 87-88. Plancha: 40-2; Dib. 14. 
Cubillos Julio Cesar. Arqueología de San Agustín. El Estrecho, El Parador y Mesita C. Fundación de Investigaciones arqueológicas nacionales. Banco de la República. Bogotá. 1980. Lamina No.III. 
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 73 Escultura No. 111     
Nachtigall, Horst. Guía de la arqueología agustiniana. Bogotá. Junio 6 de 1953. Foto Estatua sobre lozas de piedra estilizada( #21)
Cuervo Márquez Carlos. Estudios arqueológicos y etnográficos.  Editorial Kelly. 1956. Pág. 138. Figura 22
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. Lámina 70, página, 103."
San Agustín,escultura,Estatua doble,No. 115,"Según Cubillos: consiste en la representación de dos figuras antropozoomorfas contrapuestas, unidas por la espalda y tratadas hasta la cintura. El diseño es casi simétrico, pero una  de las caras está un poco más levantada, tiene la trompa lisa y el cruce de los brazos y disposición de las manos está deficientemente terminada. En cambio, la figura que aparece con boca bestial, presenta mejor acabado. Ambas figuras tienen copetes rectangulares en la cabeza.  Los brazos arrancan en ángulo recto de un relieve que parece ser el hombro. Están limitadas en la espalda por un angosto canal, el cual baja y llega hasta la altura de las axilas. Las dos figuras aparecen con orejeras circulares.",Mesita C,Esta escultura se encontró en la tumba No. 4 de la Mesita C. dentro del área arqueológica de San Agustín.,67cm  x 54cm  x 60cm,"Talla tridimensional en donde se aprovecha la forma de la roca, talla de poca penetración. Superficie con huellas de trabajo.","Cubillos Julio Cesar. Arqueología de San Agustín. El Estrecho, El Parador y Mesita C. Fundación de Investigaciones arqueológicas nacionales. Banco de la República. Bogotá. 1980. Pág. 49. Láminas: VIII b-c y d. Fotografía VIII. 
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 75. Escultura No. 115"
San Agustín,laja,Laja,No.124,Laja con motivos geométricos incisos y representación humana incisa.,Mesita C,"La laja con inscripción número 124 se encuentra referenciada por Cubillos así “..Los grabados en general se presentaron en lajas, dos de ellas, formaban parte del tendido de la tapa de la tumba y tenían el diseño en la cara que daba al interior del sepulcro,...formando parte del muro,.. o dentro del relleno...Presentamos únicamente la más importantes... El único diseño con figura humana, de rasgos muy elementales, es el grabado hallado en la Tumba No.36, que nos proporciona el dato sobre el uso de diadema y falda decorada, elemento que ya se ha registrado para esta cultura, sólo que aquí se trata posiblemente de una falda tejida y decorada, interpretando el achurado como tal.”.",130cm  x 105cm  x 12cm,Líneas delgadas incisas en la parte central de la laja.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Laja con inscripción No. 124
Cubillos, Julio Cesar. Arqueología de San Agustín. El Estrecho, El Parador y Mesita C. Banco de la República. Ed. Arco. Bogotá 1980 Pág.43, plancha 12"
San Agustín,escultura,figura antropozoomorfa,No. 140,Representa una figura animal  de espalda  ubicada encima de una figura humana donde se observan los brazos y manos dobladas a la altura del pecho.,Alto de Lavapatas,"Según Sotomayor y Uribe. El sitio así denominado esta localizado en la parte mas alta de la ribera occidental de la Quebrada de Lavapatas, a 1.500 metros Oeste-Noroeste de la Mesita C y se encuentra dentro de los predios del Parque Arqueológico de San Agustín. Quien primero detalla este lugar es Preuss; posteriormente Perez de Barradas y Duque Gómez.
Según Sotomayor y Uribe,  se desconoce  la localización exacta de esta escultura.",104cm  x 44cm  x 36 cm,Talla poco profunda,"Sotomayor María Lucia, Uribe María Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 92 Escultura No. 140 
Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta Nacional. Bogotá. 1943. Página 102."
